person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status,loan_id
26.0,male,Associate,256862.0,2,MORTGAGE,35000.0,EDUCATION,10.65,0.14,2.0,643,No,1,113
23.0,female,Associate,70430.0,0,MORTGAGE,6455.0,VENTURE,10.24,0.09,3.0,623,Yes,0,35501
33.0,male,Associate,75456.0,10,RENT,7000.0,MEDICAL,7.03,0.09,9.0,638,No,0,34764
27.0,female,Associate,25052.0,7,RENT,5500.0,PERSONAL,7.43,0.22,8.0,695,Yes,0,40540
30.0,female,Bachelor,61291.0,8,MORTGAGE,3984.0,DEBTCONSOLIDATION,10.86,0.06,9.0,687,No,0,37035
56.0,male,Bachelor,181143.0,34,MORTGAGE,15000.0,PERSONAL,11.48,0.08,26.0,587,Yes,0,32579
27.0,male,High School,51182.0,5,RENT,3000.0,MEDICAL,11.01,0.06,8.0,689,Yes,0,40558
25.0,male,Bachelor,33944.0,0,MORTGAGE,11500.0,HOMEIMPROVEMENT,6.03,0.34,4.0,637,No,1,1534
23.0,female,Associate,79805.0,0,RENT,10018.0,DEBTCONSOLIDATION,11.78,0.13,4.0,630,No,0,35357
24.0,female,Bachelor,47131.0,0,OTHER,8000.0,VENTURE,16.0,0.17,2.0,691,Yes,0,3828
37.0,male,Associate,240737.0,16,MORTGAGE,7552.0,PERSONAL,10.05,0.03,11.0,663,No,0,40260
30.0,female,Bachelor,149438.0,3,MORTGAGE,12000.0,VENTURE,9.08,0.08,4.0,692,Yes,0,41798
26.0,female,Bachelor,63426.0,8,RENT,9000.0,EDUCATION,8.0,0.14,4.0,669,Yes,0,9942
44.0,female,High School,69844.0,22,MORTGAGE,3600.0,MEDICAL,6.99,0.05,14.0,641,No,0,30527
27.0,female,Bachelor,53969.0,5,MORTGAGE,5500.0,VENTURE,13.5,0.1,10.0,630,No,0,40078
27.0,male,High School,41533.0,3,RENT,6000.0,DEBTCONSOLIDATION,6.99,0.14,6.0,559,Yes,0,21572
25.0,female,High School,36659.0,1,RENT,9000.0,DEBTCONSOLIDATION,17.58,0.25,4.0,672,No,1,9783
28.0,female,Master,145227.0,7,MORTGAGE,20000.0,VENTURE,9.45,0.14,10.0,621,Yes,0,27070
26.0,female,Associate,35946.0,3,RENT,10621.0,PERSONAL,8.79,0.3,7.0,635,No,1,44499
34.0,female,High School,30621.0,9,RENT,2875.0,VENTURE,8.61,0.09,8.0,657,Yes,0,41085
27.0,female,High School,87545.0,4,MORTGAGE,15250.0,VENTURE,13.16,0.17,5.0,645,Yes,0,24432
30.0,male,Bachelor,31109.0,6,RENT,5475.0,PERSONAL,12.68,0.18,6.0,574,No,0,21290
27.0,male,Bachelor,128482.0,2,RENT,3600.0,EDUCATION,14.27,0.03,5.0,566,Yes,0,20023
36.0,male,Master,36889.0,10,RENT,8875.0,MEDICAL,6.11,0.24,12.0,655,Yes,0,36871
26.0,female,Associate,109124.0,1,RENT,14000.0,HOMEIMPROVEMENT,6.03,0.13,2.0,596,Yes,0,14082
22.0,male,High School,44127.0,0,RENT,3600.0,PERSONAL,5.99,0.08,2.0,576,Yes,0,3314
37.0,male,Associate,91062.0,12,MORTGAGE,6000.0,MEDICAL,6.03,0.07,11.0,690,Yes,0,31044
22.0,female,Master,73042.0,0,RENT,14000.0,PERSONAL,6.03,0.19,2.0,679,Yes,0,13957
23.0,female,High School,65829.0,0,RENT,12000.0,PERSONAL,11.01,0.18,3.0,661,No,0,2746
24.0,male,Bachelor,47229.0,4,RENT,10000.0,DEBTCONSOLIDATION,10.38,0.21,3.0,602,Yes,0,10697
24.0,female,Bachelor,37286.0,2,RENT,2154.0,HOMEIMPROVEMENT,13.42,0.06,3.0,616,No,1,44073
24.0,female,Bachelor,84860.0,0,RENT,1500.0,PERSONAL,14.42,0.02,4.0,572,No,1,1649
31.0,female,Master,102706.0,9,RENT,25000.0,VENTURE,10.75,0.24,7.0,692,No,0,18092
38.0,male,Bachelor,44183.0,15,MORTGAGE,8500.0,HOMEIMPROVEMENT,12.21,0.19,16.0,674,No,0,29731
25.0,female,Bachelor,64752.0,1,MORTGAGE,4800.0,VENTURE,5.42,0.07,2.0,687,No,0,7487
24.0,male,Associate,63688.0,1,RENT,3000.0,MEDICAL,11.01,0.05,2.0,646,Yes,0,2802
24.0,male,High School,64710.0,1,MORTGAGE,7200.0,HOMEIMPROVEMENT,14.42,0.11,3.0,654,Yes,0,7477
32.0,male,Associate,79210.0,12,RENT,3625.0,PERSONAL,6.03,0.05,8.0,584,Yes,0,20029
28.0,male,Associate,91594.0,3,MORTGAGE,3500.0,EDUCATION,14.91,0.04,9.0,671,Yes,0,24779
22.0,male,Bachelor,70922.0,0,OTHER,15000.0,VENTURE,13.79,0.21,2.0,585,Yes,0,17702
22.0,male,Master,43352.0,0,RENT,7000.0,MEDICAL,18.09,0.16,2.0,672,No,1,7827
23.0,female,High School,63517.0,2,RENT,4594.0,PERSONAL,8.81,0.07,3.0,659,No,0,41149
